antecedent,consequent,confidence,lift,support,readable
"['STORAGE_128-256GB', 'GPU_IntelIntegrated']",['CPU_i5'],0.5234741784037559,2.1876532828813677,0.11377551020408164,"STORAGE_128-256GB, GPU_IntelIntegrated  ->  CPU_i5   (confidence=0.52, lift=2.19)"
"['CPU_i7/i9', 'STORAGE_128-256GB']",['RAM_8-16GB'],0.6309523809523809,2.177230046948357,0.05408163265306123,"CPU_i7/i9, STORAGE_128-256GB  ->  RAM_8-16GB   (confidence=0.63, lift=2.18)"
"['STORAGE_128-256GB', 'STORAGE_SSD', 'PRICE_1200+']",['CPU_i5'],0.5194174757281553,2.170699898565425,0.05459183673469388,"STORAGE_128-256GB, STORAGE_SSD, PRICE_1200+  ->  CPU_i5   (confidence=0.52, lift=2.17)"
"['RAM_8-16GB', 'GPU_IntelIntegrated']",['CPU_i5'],0.5134328358208955,2.1456894631321006,0.08775510204081632,"RAM_8-16GB, GPU_IntelIntegrated  ->  CPU_i5   (confidence=0.51, lift=2.15)"
"['RAM_8-16GB', 'PRICE_1200+']",['STORAGE_128-256GB'],0.6397058823529411,2.13963059626581,0.08877551020408163,"RAM_8-16GB, PRICE_1200+  ->  STORAGE_128-256GB   (confidence=0.64, lift=2.14)"
"['GPU_NVIDIA', 'RAM_16-32GB']",['PRICE_1200+'],0.9274193548387096,2.138519924098672,0.058673469387755105,"GPU_NVIDIA, RAM_16-32GB  ->  PRICE_1200+   (confidence=0.93, lift=2.14)"
"['CPU_CoreUltra', 'RAM_32GB+']",['PRICE_1200+'],0.925,2.1329411764705886,0.07551020408163266,"CPU_CoreUltra, RAM_32GB+  ->  PRICE_1200+   (confidence=0.93, lift=2.13)"
"['RAM_<8GB', 'GPU_IntelIntegrated']",['STORAGE_HDD'],0.45387453874538747,2.128215540528611,0.06275510204081633,"RAM_<8GB, GPU_IntelIntegrated  ->  STORAGE_HDD   (confidence=0.45, lift=2.13)"
"['CPU_i5', 'GPU_IntelIntegrated']",['STORAGE_128-256GB'],0.6109589041095891,2.0434802936088645,0.11377551020408164,"CPU_i5, GPU_IntelIntegrated  ->  STORAGE_128-256GB   (confidence=0.61, lift=2.04)"
"['STORAGE_128-256GB', 'STORAGE_SSD']",['CPU_i5'],0.4882075471698113,2.040270346381301,0.10561224489795919,"STORAGE_128-256GB, STORAGE_SSD  ->  CPU_i5   (confidence=0.49, lift=2.04)"
"['GPU_NVIDIA', 'PRICE_1200+']",['CPU_i7/i9'],0.5882352941176471,2.0298260149130076,0.08673469387755102,"GPU_NVIDIA, PRICE_1200+  ->  CPU_i7/i9   (confidence=0.59, lift=2.03)"
"['GPU_NVIDIA', 'CPU_i7/i9', 'STORAGE_SSD']",['PRICE_1200+'],0.8786127167630058,2.025977558653519,0.07755102040816327,"GPU_NVIDIA, CPU_i7/i9, STORAGE_SSD  ->  PRICE_1200+   (confidence=0.88, lift=2.03)"
"['STORAGE_Dual-Drive', 'GPU_NVIDIA']",['PRICE_1200+'],0.8761061946902655,2.02019781363873,0.050510204081632655,"STORAGE_Dual-Drive, GPU_NVIDIA  ->  PRICE_1200+   (confidence=0.88, lift=2.02)"
"['STORAGE_Dual-Drive', 'GPU_NVIDIA', 'STORAGE_SSD']",['PRICE_1200+'],0.875,2.0176470588235293,0.05,"STORAGE_Dual-Drive, GPU_NVIDIA, STORAGE_SSD  ->  PRICE_1200+   (confidence=0.88, lift=2.02)"
"['RAM_32GB+', 'PRICE_1200+']",['STORAGE_512GB-1TB'],0.5155038759689923,2.016741710377694,0.06785714285714285,"RAM_32GB+, PRICE_1200+  ->  STORAGE_512GB-1TB   (confidence=0.52, lift=2.02)"
['GPU_NVIDIA'],['STORAGE_HDD'],0.42857142857142855,2.0095693779904304,0.09030612244897959,"GPU_NVIDIA  ->  STORAGE_HDD   (confidence=0.43, lift=2.01)"
['STORAGE_HDD'],['GPU_NVIDIA'],0.423444976076555,2.0095693779904304,0.09030612244897959,"STORAGE_HDD  ->  GPU_NVIDIA   (confidence=0.42, lift=2.01)"
"['RAM_8-16GB', 'STORAGE_SSD']",['CPU_i5'],0.4790575916230366,2.0020317261858245,0.0933673469387755,"RAM_8-16GB, STORAGE_SSD  ->  CPU_i5   (confidence=0.48, lift=2.00)"
"['STORAGE_1-2TB', 'GPU_NVIDIA']",['PRICE_1200+'],0.8646616541353384,1.9938080495356039,0.058673469387755105,"STORAGE_1-2TB, GPU_NVIDIA  ->  PRICE_1200+   (confidence=0.86, lift=1.99)"
"['RAM_<8GB', 'GPU_IntelIntegrated']",['PRICE_400-700'],0.39114391143911437,1.9912780945991277,0.05408163265306123,"RAM_<8GB, GPU_IntelIntegrated  ->  PRICE_400-700   (confidence=0.39, lift=1.99)"
"['STORAGE_128-256GB', 'PRICE_1200+']",['CPU_i5'],0.46956521739130436,1.962362102530824,0.05510204081632653,"STORAGE_128-256GB, PRICE_1200+  ->  CPU_i5   (confidence=0.47, lift=1.96)"
['STORAGE_512GB-1TB'],['RAM_32GB+'],0.37924151696606784,1.9612490059458918,0.09693877551020408,"STORAGE_512GB-1TB  ->  RAM_32GB+   (confidence=0.38, lift=1.96)"
